"","Knows","Uses","Wants","Loyal","Trendy","Jobs","KnowsPercent","UsePercent","LoyaltyPercent","TrendyPercent","ApplicantsForJob"
"JavaScript",96,14,9,7,2,118,0.82,0.12,0.5,0.03,0.02
"Java",103,51,15,12,3,224,0.88,0.44,0.24,0.05,0.01
"PHP",50,2,2,2,0,46,0.43,0.02,1,0,0
"Python",39,2,9,2,7,24,0.33,0.02,1,0.11,0.24
"Ruby",36,4,10,4,6,33,0.31,0.03,1,0.1,0.16
"C#",38,16,11,10,1,178,0.32,0.14,0.62,0.02,0.01
"C++",25,1,0,0,0,60,0.21,0.01,0,0,0
"C",42,2,0,0,0,70,0.36,0.02,0,0,0
"Objective-C",17,2,2,2,0,6,0.15,0.02,1,0,0
"Perl",25,6,3,3,0,33,0.21,0.05,0.5,0,0
"Shell",52,0,0,0,0,4,0.44,0,NA,0,0
"Scala",34,3,27,2,25,8,0.29,0.03,0.67,0.41,1.92
"ASP",7,0,0,0,0,78,0.06,0,NA,0,0
"Haskell",5,0,0,0,0,0,0.04,0,NA,0,0
"Assembly",13,0,0,0,0,1,0.11,0,NA,0,0
"ActionScript",11,0,0,0,0,0,0.09,0,NA,0,0
"R",2,0,0,0,0,0,0.02,0,NA,0,0
"CoffeScript",20,0,0,0,0,0,0.17,0,NA,0,0
"Visual Basic",23,0,0,0,0,3,0.2,0,NA,0,0
"MATLAB",7,0,0,0,0,0,0.06,0,NA,0,0
"Groovy",38,12,14,10,4,6,0.32,0.1,0.83,0.07,0.36
"Clojure",19,2,12,2,10,1,0.16,0.02,1,0.16,1.67
"Go",3,0,2,0,2,0,0.03,0,NA,0.03,0.4
"Erlang",2,0,1,0,1,0,0.02,0,NA,0.02,0.2
