Kjennskap,Jobber med,Vil jobbe med
"JavaScript, Java, PHP, Python, C#, C++, C, Scala, Clojure",JavaScript,Clojure
"Java, Python, Scala",Java,Scala
"JavaScript, Java, PHP, Python, Ruby, Visual Basic, Groovy",Java,Ruby
"JavaScript, Java, Perl, Shell, ASP, Visual Basic",Java,Java
"JavaScript, Java, PHP, C#, C++, C, Objective-C, Perl, Shell, Assembly, ActionScript",Objective-C,Objective-C
"JavaScript, Java, Python, C, Shell, Scala, MATLAB, Groovy",Java,Java
"JavaScript, Java, PHP, Python, C#",Java,Scala
"JavaScript, Java, PHP, Python, Ruby, C#, Objective-C, Perl, Shell, Scala, R, CoffeScript, Visual Basic, Groovy",Java,Scala
"JavaScript, Java, Ruby, Shell",Java,Scala
"JavaScript, Java, PHP, Python, Shell, Scala, Clojure",Java,Scala
"JavaScript, Java, PHP, ActionScript",JavaScript,JavaScript
"JavaScript, Java, PHP, Shell",Java,Scala
"JavaScript, Java, Ruby, CoffeScript",Ruby,Ruby
"JavaScript, Java, PHP, C#, Clojure",Java,Clojure
"JavaScript, Java, PHP, Python, C, Perl, Shell, Scala, Clojure",Java,Python
"JavaScript, Java, Ruby, CoffeScript",Java,Scala
"Java, Shell, Groovy",Java,Scala
"JavaScript, Java, PHP, Perl, ASP, Visual Basic",Java,Scala
"JavaScript, Java, Scala, Groovy",JavaScript,JavaScript
"JavaScript, Java, PHP, Ruby, Perl",Java,JavaScript
"JavaScript, Java, PHP, Python, C, Shell, Assembly, CoffeScript, Visual Basic, MATLAB, Groovy, Clojure",JavaScript,JavaScript
"JavaScript, Python",JavaScript,JavaScript
"JavaScript, Java, PHP, Groovy",Java,Java
"JavaScript, Java, PHP, Python, C, Perl, Shell, CoffeScript",JavaScript,Go
"JavaScript, Java, Ruby",Java,Ruby
"JavaScript, Java, Ruby, CoffeScript",Ruby,Ruby
"JavaScript, Java, Python, Shell, Groovy",JavaScript,Java
"JavaScript, Java, Ruby, C#, C++, C, Perl, Shell, Scala, ActionScript, CoffeScript",C#,Java
"JavaScript, Java, PHP, C, Objective-C, Clojure",JavaScript,Clojure
"JavaScript, Java, Scala",JavaScript,Scala
"JavaScript, C, Assembly, MATLAB",JavaScript,C#
"JavaScript, Java, PHP, Python, C#, C++, C, Objective-C, Shell, Assembly, MATLAB",C#,C#
"JavaScript, Java, C#, C++, ASP, Visual Basic",C#,C#
"C#, C++, C, Visual Basic",C#,C#
"Java, PHP, Ruby, C#, Shell",C#,Ruby
"JavaScript, Java, PHP, Ruby, C, Objective-C, Perl, Shell, Scala, CoffeScript",Java,Ruby
"JavaScript, Java, Ruby, ActionScript",Java,Scala
"JavaScript, Java, Python, C#, C++, C, Objective-C",C++,Python
"JavaScript, C#",C#,JavaScript
"JavaScript, Java, C#, C++, C, Objective-C",Java,Java
"Java, C#, Objective-C",Objective-C,Objective-C
"JavaScript, Java, PHP, Python, Ruby, C, Perl, Shell, Scala, Groovy",Scala,Clojure
"JavaScript, Java, Ruby, C#, C++, C, Shell, ASP, Assembly, Visual Basic",JavaScript,JavaScript
"JavaScript, Python, C, Perl, Shell, Assembly",Perl,Clojure
"JavaScript, Java, Ruby, C#, C",C#,Scala
"JavaScript, Java, PHP, Ruby, Objective-C, Shell, ActionScript, CoffeScript, Visual Basic",Ruby,Ruby
Java,Java,Groovy
"JavaScript, Java, Shell, ActionScript, Visual Basic",JavaScript,JavaScript
"JavaScript, Java, Shell, Scala",Java,Scala
"JavaScript, Java, PHP, Python, Ruby, C, Shell, Scala, CoffeScript, Go",Python,Python
"C#, Objective-C",C#,C#
"Java, Scala",Scala,Scala
Java,Java,Scala
"JavaScript, Java, C#, Perl, Shell, Scala",Java,Scala
"JavaScript, Java, Python, Ruby, C++, C, Perl, Shell, Scala, Groovy, Clojure, Go",Java,Java
"Java, Ruby",Ruby,Ruby
"JavaScript, C#, Scala",C#,Scala
"JavaScript, Java, Python, Perl, Shell, Scala, R",Java,Scala
"JavaScript, Java, PHP, Ruby, Shell, Groovy, Clojure",JavaScript,Clojure
"JavaScript, C#, ASP, Visual Basic",C#,C#
"Java, C",Java,Java
"JavaScript, Java, PHP, CoffeScript, Groovy",Java,Java
"JavaScript, Java, PHP, Python, Ruby, Shell, Scala",Java,Java
"JavaScript, Java, Ruby, Scala, Clojure",Java,Clojure
"JavaScript, Java, PHP, Python, C#, C++, Haskell, Go",Java,Go
"Java, PHP, C#, Shell, Visual Basic",Java,Scala
"JavaScript, Java, PHP, Ruby, C#, C++, C, Objective-C, ActionScript, Visual Basic, MATLAB",C#,C#
"JavaScript, Java, PHP, ActionScript, Groovy",Groovy,Groovy
"JavaScript, Java, PHP, Python, C++, C, Perl, Shell, CoffeScript",Perl,Perl
"JavaScript, Java, Ruby, C#, Objective-C, Shell, ActionScript, Groovy, Clojure",Groovy,Groovy
"JavaScript, Java, Python, Groovy",Groovy,Groovy
"JavaScript, Ruby, Objective-C, Haskell, CoffeScript, Groovy, Clojure",Clojure,Clojure
"JavaScript, PHP, Python, C, Shell",JavaScript,JavaScript
"JavaScript, Java, Python, C++, C, Shell, Haskell, Assembly, CoffeScript, Clojure, Erlang",Clojure,Clojure
"JavaScript, Java, Python, C#, Objective-C, ASP",C#,Python
"JavaScript, Java, PHP, Python, Ruby, Shell, Groovy, Clojure",Java,Clojure
"JavaScript, Java, PHP, C#, C++, C, Objective-C, Assembly, ActionScript",Java,Java
"Java, Python, C#, Shell, MATLAB",C#,C#
"JavaScript, Java, PHP, C#, Groovy",Groovy,Groovy
"JavaScript, Java, Groovy",Groovy,Groovy
"JavaScript, Java, Python, C++, C, Scala, Haskell, Assembly, Groovy",Java,Scala
"JavaScript, Java, Ruby, Shell, CoffeScript, Groovy",Groovy,Ruby
"JavaScript, Java, Python, C#, C++, C",Python,Python
"Java, C#, C++, C, Assembly, Visual Basic",C,Python
"Java, PHP, Python, Ruby, C#, Visual Basic",C#,C#
"JavaScript, Java, C#, C, Shell, Scala",Java,Scala
"JavaScript, Java, C#, C, Shell, Scala",Java,Scala
"Java, PHP, C++, C, Perl, Shell, Scala",Java,Scala
"JavaScript, Java, PHP, C, Perl, Shell",Perl,Perl
"Java, Ruby, C, Perl, Shell, Groovy",Groovy,Groovy
"JavaScript, Java, Groovy, Clojure",Java,Clojure
"JavaScript, Java, PHP, Perl, Scala, Groovy",Java,Java
"JavaScript, Java, PHP",PHP,PHP
"Java, PHP, Python, C, Shell, Scala, Visual Basic, Groovy",Java,Java
"Java, Objective-C",Java,Java
"JavaScript, Java, Ruby, C++, C, Shell, Scala, Assembly, Visual Basic, MATLAB, Groovy, Clojure",Groovy,Groovy
"JavaScript, Java, PHP",PHP,PHP
"JavaScript, Java, PHP, Python, C++, C, Perl, Shell, Scala, CoffeScript, Visual Basic, Groovy, Clojure, Erlang",Java,Erlang
"JavaScript, Java, PHP, C++, C, Visual Basic, Groovy, Clojure",Groovy,Clojure
"JavaScript, Java, Ruby, Visual Basic, Groovy",Groovy,Groovy
"JavaScript, Java, Ruby, C#, Shell, ActionScript, Visual Basic, Groovy, Clojure",Groovy,Groovy
"JavaScript, Java, PHP, Python, Scala, CoffeScript",Java,Python
"JavaScript, PHP, Python, Perl, Shell, CoffeScript",Perl,Perl
"JavaScript, Java, PHP, Python, Groovy",Groovy,Groovy
"Python, Ruby, C, Perl, Shell",C,Python
"JavaScript, Java, PHP, Ruby, Perl, Shell",Perl,Ruby
"JavaScript, Java, C#, Objective-C, Groovy",Java,Groovy
"JavaScript, PHP, C#",C#,C#
"JavaScript, Java, C#, Scala",Java,Scala
"JavaScript, Java, PHP, Python, Shell, Scala, Groovy",Java,Scala
"JavaScript, Java, Ruby, C++, C, Scala, Assembly, CoffeScript, Groovy",Java,Scala
"JavaScript, Java, PHP, C, Perl, Shell, Assembly, Visual Basic",Perl,Java
"JavaScript, Java, Ruby, Scala, Haskell, CoffeScript, Groovy, Clojure",Scala,Scala
"Java, C++, Scala, Groovy",Java,Groovy
"JavaScript, Java, Python, Shell, Groovy",Java,Python
"JavaScript, C#, C++, C, Perl, Shell, ASP, Visual Basic",C#,C#
"JavaScript, Java, Groovy",Java,Groovy
